date,price,logreturn
20.07.1950,17.610001,0.0142982124581411
21.07.1950,17.59,-0.0011364205445635
24.07.1950,17.48,-0.0062731885220774
25.07.1950,17.23,-0.0144053196875511
26.07.1950,17.27,0.00231884161874885
27.07.1950,17.5,0.0132299887708811
28.07.1950,17.690001,0.0107986837713364
31.07.1950,17.84,0.00844356245105862
01.08.1950,18.02,0.0100391250283286
02.08.1950,17.950001,-0.00389208153559903
03.08.1950,17.99,0.00222587731784882
04.08.1950,18.139999,0.00830334159775576
07.08.1950,18.41,0.0147746056847891
08.08.1950,18.459999,0.00271217965853724
09.08.1950,18.610001,0.00809294948518558
10.08.1950,18.48,-0.0070100581751712
11.08.1950,18.280001,-0.0108814454829406
14.08.1950,18.290001,0.000546896346860892
15.08.1950,18.32,0.0016388421685258
16.08.1950,18.34,0.00109110758233456
17.08.1950,18.540001,0.0108461472468214
18.08.1950,18.68,0.00752281872555641
21.08.1950,18.700001,0.00107014453577875
22.08.1950,18.68,-0.00107014453577878
23.08.1950,18.82,0.00746670135653707
24.08.1950,18.790001,-0.00159526751206324
25.08.1950,18.540001,-0.01339425257003
28.08.1950,18.530001,-0.000539519811332599
29.08.1950,18.540001,0.000539519811332625
30.08.1950,18.43,-0.00595084239340828
31.08.1950,18.42,-0.000542740854570968
01.09.1950,18.549999,0.00703270431792607
05.09.1950,18.68,0.00698369765560963
06.09.1950,18.540001,-0.00752281872555632
07.09.1950,18.59,0.00269318765821243
08.09.1950,18.75,0.00856995068306726
11.09.1950,18.610001,-0.00749462802771054
12.09.1950,18.870001,0.0138742879859188
13.09.1950,19.09,0.0115912253630283
14.09.1950,19.18,0.00470343171763588
15.09.1950,19.290001,0.00571880930267608
18.09.1950,19.370001,0.00413865028716104
19.09.1950,19.309999,-0.00310248439134651
20.09.1950,19.209999,-0.00519211992953953
21.09.1950,19.370001,0.00829460432088592
22.09.1950,19.440001,0.00360732142749171
25.09.1950,19.42,-0.00102938760944193
26.09.1950,19.139999,-0.0145231290849761
27.09.1950,19.41,0.0140080634027159
28.09.1950,19.42,0.000515065682260065
29.09.1950,19.450001,0.0015436586151568
02.10.1950,19.690001,0.0122638219598987
03.10.1950,19.66,-0.00152482871921396
04.10.1950,20,0.0171461588349706
05.10.1950,19.889999,-0.00551523096463227
