date,year,price,returns
712227,1950,16.85,0.011340020059674
712228,1950,16.93,0.0047365393466734
712229,1950,16.98,0.00294898473815719
712232,1950,17.08,0.0058720074772225
712233,1950,17.030001,-0.00293163496592275
712234,1950,17.09,0.00351694373299827
712235,1950,16.76,-0.0194984020735625
712236,1950,16.67,-0.00538439829123405
712239,1950,16.719999,0.00299485108523845
712240,1950,16.860001,0.00833846403774752
712241,1950,16.85,-0.000593355087318059
712242,1950,16.870001,0.00118629903632694
712243,1950,16.9,0.00177666609432992
712246,1950,16.92,0.00118273224904986
712247,1950,16.860001,-0.00355234229238865
712248,1950,16.74,-0.00714294682435979
712249,1950,16.73,-0.000597550062596319
712250,1950,16.82,0.00536513954606921
712253,1950,17.02,0.0118204686004262
712254,1950,17.049999,0.00176102193326955
712255,1950,17.049999,0
712256,1950,17.23,0.0105019054613407
712257,1950,17.290001,0.0034763069922592
712260,1950,17.32,0.00173354560219163
712261,1950,17.23,-0.00520985259445084
712262,1950,17.209999,-0.00116149842214419
712263,1950,17.280001,0.00405926912858412
712264,1950,17.24,-0.00231755601073136
712268,1950,17.059999,-0.0104957817886624
712269,1950,17.059999,0
712270,1950,16.99,-0.00411154776304379
712271,1950,17.15,0.0093732379281084
712274,1950,17.200001,0.0029112683469914
712275,1950,17.17,-0.00174576704955642
712277,1950,17.209999,0.00232687720831004
712278,1950,17.280001,0.00405926912858412
712281,1950,17.280001,0
712282,1950,17.219999,-0.0034783803187044
712283,1950,17.24,0.00116082430797304
712284,1950,17.23,-0.00058021469570857
712285,1950,17.290001,0.0034763069922592
712288,1950,17.32,0.00173354560219163
712289,1950,17.200001,-0.00695246117534865
712290,1950,17.190001,-0.000581564390827793
712291,1950,17.07,-0.00700534076176362
712292,1950,17.09,0.00117096032115027
712295,1950,17.120001,0.00175393199730989
712296,1950,17.25,0.00756471435255968
712297,1950,17.450001,0.0115275624776561
712298,1950,17.49,0.00228958307548544
712299,1950,17.450001,-0.00228958307548544
712302,1950,17.440001,-0.000573230134743419
712303,1950,17.450001,0.000573230134743419
712304,1950,17.549999,0.00571418697679116
712305,1950,17.559999,0.000569638327544641
712306,1950,17.559999,0
712309,1950,17.459999,-0.00571103812167495
712310,1950,17.530001,0.00400126284052105
712311,1950,17.440001,-0.00514728015792532
712312,1950,17.299999,-0.00806003212001816
712313,1950,17.290001,-0.000578086168165903
712316,1950,17.530001,0.0137853984461094
712317,1950,17.549999,0.00114013695360926
712318,1950,17.629999,0.00454804675646381
712319,1950,17.780001,0.00847234664044638
712323,1950,17.85,0.00392922189692202
712324,1950,17.75,-0.00561799230422366
712325,1950,17.940001,0.010647396450584
712326,1950,17.98,0.0022271166714658
712327,1950,17.959999,-0.00111302184870965
712330,1950,17.879999,-0.00446429337780962
712331,1950,18.030001,0.00835437886138601
712332,1950,18.049999,0.00110853669888522
712333,1950,17.93,-0.00667034176018477
712334,1950,17.959999,0.00167171957772316
712337,1950,17.83,-0.00726457531971603
712338,1950,17.83,0
712339,1950,17.76,-0.00393369431102464
712340,1950,17.860001,0.00561489387536884
712341,1950,17.959999,0.00558337575537182
712344,1950,18.219999,0.014372829752304
712345,1950,18.110001,-0.00605550983363656
712346,1950,18.27,0.00879604327648309
712347,1950,18.120001,-0.00824401458744584
712348,1950,18.219999,0.00550348114459931
712351,1950,18.27,0.00274053344284653
712352,1950,18.27,0
712353,1950,18.290001,0.00109414668754315
712354,1950,18.290001,0
712355,1950,18.18,-0.00603242832812567
712358,1950,18.26,0.00439078641748969
712359,1950,18.440001,0.00980939719155849
712360,1950,18.52,0.00432895685965207
712361,1950,18.559999,0.00215744426070952
712362,1950,18.68,0.00644475932195387
712365,1950,18.6,-0.0042918520815407
712366,1950,18.709999,0.00589650611948667
712367,1950,18.690001,-0.00106941186662457
712368,1950,18.690001,0
712369,1950,18.67,-0.00107071741838638
712372,1950,18.719999,0.00267446007700967
712374,1950,18.780001,0.00320010939761062
712375,1950,18.77,-0.000532676429834122
712376,1950,18.790001,0.00106501604675246
712379,1950,18.6,-0.0101632859260143
712380,1950,18.879999,0.0149415270320956
712381,1950,18.93,0.00264485746998
712382,1950,19.139999,0.0110323685569713
712383,1950,19.26,0.00625007259177668
712386,1950,19.4,0.00724265969930293
712387,1950,19.25,-0.00776200533548899
712388,1950,18.98,-0.0141252675520116
712389,1950,18.93,-0.00263782796055034
712390,1950,18.969999,0.00211076601087745
712393,1950,18.92,-0.00263916760837635
712394,1950,18.83,-0.00476822095467133
712395,1950,19,0.0089876364973791
712396,1950,19.16,0.0083857933762741
712397,1950,19.139999,-0.00104443876451166
712400,1950,18.110001,-0.0553160066647704
712401,1950,17.91,-0.0111051110408118
712402,1950,18.110001,0.0111051110408118
712403,1950,17.440001,-0.0376978512931507
712404,1950,17.690001,0.0142330888805233
712407,1950,17.639999,-0.00283057081150373
712409,1950,17.809999,0.00959104726403615
712410,1950,17.91,0.00559917491928319
712411,1950,17.67,-0.0134909297410153
712414,1950,17.59,-0.00453772758213855
712415,1950,17.32,-0.0154686556151775
712416,1950,16.870001,-0.0263249472995915
712417,1950,16.690001,-0.0107271582448383
712418,1950,16.870001,0.0107271582448383
712421,1950,16.68,-0.0113265589040972
712422,1950,17.059999,0.022526086516284
712423,1950,17.360001,0.0174322833890046
712424,1950,17.610001,0.0142982124581414
712425,1950,17.59,-0.00113642054456387
712428,1950,17.48,-0.00627318852207726
712429,1950,17.23,-0.0144053196875511
712430,1950,17.27,0.00231884161874873
712431,1950,17.5,0.0132299887708816
712432,1950,17.690001,0.0107986837713363
